METADATA
solver_name,Algorithm (1)
max_iterations,51
dimensions,2
num_constraints,6
track_error,True
plot_errors,False
plot_active_halfspaces,True

INITIAL_POINT
z_0,z_1
-4.0,1.4

FINAL_PROJECTION
projection_0,projection_1
-1.427247692653566e-05,1.0000071362384633

CONSTRAINTS_N
normal_0,1.0,0.0
normal_1,-1.0,0.0
normal_2,0.0,1.0
normal_3,0.0,-1.0
normal_4,0.5,1.0
normal_5,-0.5,-1.0

CONSTRAINTS_C
c_0,c_1,c_2,c_3,c_4,c_5
1.0,1.0,1.0,1.0,1.0,-1.0

PATH_HISTORY
iteration,constraint,dim_0,dim_1
38,1,-0.00032451855365778215,1.0
38,2,-0.0002596148429261369,1.0001298074214633
39,0,-0.0002596148429261369,1.0001298074214633
39,1,-0.0002596148429261369,1.0
39,2,-0.00020769187434099834,1.0001038459371703
40,0,-0.00020769187434099834,1.0001038459371703
40,1,-0.00020769187434099834,1.0
40,2,-0.00016615349947324276,1.0000830767497355
41,0,-0.00016615349947324276,1.0000830767497355
41,1,-0.00016615349947324276,1.0
41,2,-0.00013292279957832775,1.0000664613997898
42,0,-0.00013292279957832775,1.0000664613997898
42,1,-0.00013292279957832775,1.0
42,2,-0.00010633823966221811,1.0000531691198322
43,0,-0.00010633823966221811,1.0000531691198322
43,1,-0.00010633823966221811,1.0
43,2,-8.507059173012976e-05,1.0000425352958642
44,0,-8.507059173012976e-05,1.0000425352958642
44,1,-8.507059173012976e-05,1.0
44,2,-6.805647338392617e-05,1.0000340282366924
45,0,-6.805647338392617e-05,1.0000340282366924
45,1,-6.805647338392617e-05,1.0
45,2,-5.444517870678567e-05,1.0000272225893543
46,0,-5.444517870678567e-05,1.0000272225893543
46,1,-5.444517870678567e-05,1.0
46,2,-4.355614296569499e-05,1.0000217780714822
47,0,-4.355614296569499e-05,1.0000217780714822
47,1,-4.355614296569499e-05,1.0
47,2,-3.484491437255599e-05,1.0000174224571863
48,0,-3.484491437255599e-05,1.0000174224571863
48,1,-3.484491437255599e-05,1.0
48,2,-2.7875931498222428e-05,1.0000139379657487
49,0,-2.7875931498222428e-05,1.0000139379657487
49,1,-2.7875931498222428e-05,1.0
49,2,-2.2300745198045036e-05,1.0000111503726004
50,0,-2.2300745198045036e-05,1.0000111503726004
50,1,-2.2300745198045036e-05,1.0
50,2,-1.7840596158169575e-05,1.0000089202980798
51,0,-1.7840596158169575e-05,1.0000089202980798
51,1,-1.7840596158169575e-05,1.0
51,2,-1.427247692653566e-05,1.0000071362384633

SQUARED_ERRORS
iteration,squared_error
0,0.8
1,0.8
2,0.512
3,0.32768
4,0.2097152
5,0.134217728
6,0.0858993459
7,0.0549755814
8,0.0351843721
9,0.0225179981
10,0.0144115188
11,0.009223372
12,0.0059029581
13,0.0037778932
14,0.0024178516
15,0.001547425
16,0.000990352
17,0.0006338253
18,0.0004056482
19,0.0002596148
20,0.0001661535
21,0.0001063382
22,6.80565e-05
23,4.35561e-05
24,2.78759e-05
25,1.78406e-05
26,1.1418e-05
27,7.3075e-06
28,4.6768e-06
29,2.9932e-06
30,1.9156e-06
31,1.226e-06
32,7.846e-07
33,5.022e-07
34,3.214e-07
35,2.057e-07
36,1.316e-07
37,8.42e-08
38,5.39e-08
39,3.45e-08
40,2.21e-08
41,1.41e-08
42,9e-09
43,5.8e-09
44,3.7e-09
45,2.4e-09
46,1.5e-09
47,1e-09
48,6e-10
49,4e-10
50,3e-10

STALLED_ERRORS
iteration,stalled_error
0,nan
1,0.8
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,nan
27,nan
28,nan
29,nan
30,nan
31,nan
32,nan
33,nan
34,nan
35,nan
36,nan
37,nan
38,nan
39,nan
40,nan
41,nan
42,nan
43,nan
44,nan
45,nan
46,nan
47,nan
48,nan
49,nan
50,nan

CONVERGED_ERRORS
iteration,converged_error
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,0.000990352
17,0.0006338253
18,0.0004056482
19,0.0002596148
20,0.0001661535
21,0.0001063382
22,6.80565e-05
23,4.35561e-05
24,2.78759e-05
25,1.78406e-05
26,1.1418e-05
27,7.3075e-06
28,4.6768e-06
29,2.9932e-06
30,1.9156e-06
31,1.226e-06
32,7.846e-07
33,5.022e-07
34,3.214e-07
35,2.057e-07
36,1.316e-07
37,8.42e-08
38,5.39e-08
39,3.45e-08
40,2.21e-08
41,1.41e-08
42,9e-09
43,5.8e-09
44,3.7e-09
45,2.4e-09
46,1.5e-09
47,1e-09
48,6e-10
49,4e-10
50,3e-10

ACTIVE_HALFSPACES
constraint,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0

